,question,answer,right_answer,probs,gen_answer,explanation,is_correct
10,"What is called a password that is the same for each log-on session? [A] ""one-time password"" [B.] ""two-time password"" [C.] static password [D.] dynamic password","{""answer"":""C"", ""explanation"":""Static password is the same for each log-on session""} <end>",C,"tensor([2.1148e-06, 1.0929e-06, 1.8770e-07,  ..., 1.9325e-08, 1.9325e-08,
        1.9325e-08])",C,Static password is the same for each log-on session,True
11,What is called a sequence of characters that is usually longer than the allotted number for a password? [A] passphrase [B.] cognitive phrase [C.] anticipated phrase [D.] Real phrase,"{""answer"":""A"", ""explanation"": ""A passphrase is a sequence of characters that is usually longer than the allotted number for a password. It is used to improve password security by making it more difficult to crack using brute force methods. Passphrases can be a combination of words, phrases, or characters that are easy for the user to remember but difficult for an attacker to guess.""} <end>",A,"tensor([4.0290e-06, 6.1545e-07, 1.0570e-07,  ..., 1.1540e-08, 1.1540e-08,
        1.1540e-08])",A,"A passphrase is a sequence of characters that is usually longer than the allotted number for a password. It is used to improve password security by making it more difficult to crack using brute force methods. Passphrases can be a combination of words, phrases, or characters that are easy for the user to remember but difficult for an attacker to guess.",True
12,"Which best describes a tool (i.e. keyfob, calculator, memory card or smart card) used to supply dynamic passwords? [A] Tickets [B.] Tokens [C.] Token passing networks [D.] Coupons","{""answer"":""B"", ""explanation"": ""Tokens are small devices that hold a secret and are used to supply dynamic passwords. They can be used to authenticate a user or a device and are often used in conjunction with a PIN or password. Tokens can be physical devices, such as a key fob or a smart card, or they can be software-based. They are commonly used in environments where security is a high priority, such as in financial institutions or government agencies. ""} <end>",B,"tensor([2.8204e-06, 7.0333e-08, 1.0766e-07,  ..., 1.0977e-08, 1.0977e-08,
        1.0977e-08])",B,"Tokens are small devices that hold a secret and are used to supply dynamic passwords. They can be used to authenticate a user or a device and are often used in conjunction with a PIN or password. Tokens can be physical devices, such as a key fob or a smart card, or they can be software-based. They are commonly used in environments where security is a high priority, such as in financial institutions or government agencies. ",True
13,Which of the following would be true about Static password tokens? [A] The owner identity is authenticated by the token [B.] The owner will never be authenticated by the token. [C.] The owner will authenticate himself to the system. [D.] The token does not authenticates the token owner but the system.,"{""answer"":""A"", ""explanation"": ""Static password tokens are a type of token that uses a fixed password to authenticate the token owner. Therefore, the correct answer is [A] The owner identity is authenticated by the token.""} <end>",A,"tensor([1.6062e-05, 9.2406e-07, 3.9743e-07,  ..., 1.6055e-08, 1.6055e-08,
        1.6055e-08])",A,"Static password tokens are a type of token that uses a fixed password to authenticate the token owner. Therefore, the correct answer is [A] The owner identity is authenticated by the token.",True
14,"In Synchronous dynamic password tokens: [A] The token generates a new password value at fixed time intervals (this password could be based on the time of day encrypted with a secret key). [B.] The token generates a new non-unique password value at fixed time intervals (this password could be based on the time of day encrypted with a secret key). [C.] The unique password is not entered into a system or workstation along with an owner's PIN. [D.] The authentication entity in a system or workstation knows an owner's secret key and PIN, and the entity verifies that the entered password is invalid and that it was entered during the invalid time window.","{""answer"":""B"", ""explanation"": ""Synchronous dynamic password tokens are a type of authentication method that generates a new non-unique password value at fixed time intervals. This password is based on the time of day and is encrypted with a secret key. The user enters this password along with their PIN to authenticate.""} <end>",B,"tensor([2.3802e-05, 4.0794e-07, 1.9650e-07,  ..., 1.3036e-08, 1.3036e-08,
        1.3036e-08])",B,Synchronous dynamic password tokens are a type of authentication method that generates a new non-unique password value at fixed time intervals. This password is based on the time of day and is encrypted with a secret key. The user enters this password along with their PIN to authenticate.,True
15,"In biometrics, ""one-to-many"" search against database of stored biometric images is done in: [A] Authentication [B.] Identification [C.] Identities [D.] Identity-based access control","{""answer"":""B"", ""explanation"": ""One-to-many search is used in biometric identification where a query image is compared against a database of stored images to find a match.""} <end>",B,"tensor([2.1159e-06, 2.0306e-07, 8.4980e-08,  ..., 3.2313e-09, 3.2313e-09,
        3.2313e-09])",B,One-to-many search is used in biometric identification where a query image is compared against a database of stored images to find a match.,True
16,Which of the following is true of biometrics? [A] It is used for identification in physical controls and it is not used in logical controls. [B.] It is used for authentication in physical controls and for identification in logical controls. [C.] It is used for identification in physical controls and for authentication in logical controls. [D.] Biometrics has not role in logical controls.,"{""answer"":""C"", ""explanation"": ""Biometrics is used for identification in physical controls and for authentication in logical controls.""} <end>",C,"tensor([1.0376e-05, 4.6671e-07, 1.7372e-07,  ..., 1.3875e-08, 1.3875e-08,
        1.3875e-08])",C,Biometrics is used for identification in physical controls and for authentication in logical controls.,True
17,What is called the percentage of valid subjects that are falsely rejected by a Biometric Authentication system? [A] False Rejection Rate (FRR) or Type I Error [B.] False Acceptance Rate (FAR) or Type II Error [C.] Crossover Error Rate (CER) [D.] True Rejection Rate (TRR) or Type III Error,"{""answer"":""B"", ""explanation"":""False Acceptance Rate (FAR) or Type II Error is the percentage of valid subjects that are falsely accepted by a Biometric Authentication system.""} <end>",A,"tensor([5.9740e-06, 7.3614e-07, 1.2064e-07,  ..., 8.6882e-09, 8.6882e-09,
        8.6882e-09])",B,False Acceptance Rate (FAR) or Type II Error is the percentage of valid subjects that are falsely accepted by a Biometric Authentication system.,False
18,What is called the percentage of invalid subjects that are falsely accepted by a Biometric authentication system? [A] False Rejection Rate (FRR) or Type I Error [B.] False Acceptance Rate (FAR) or Type II Error [C.] Crossover Error Rate (CER) [D.] True Acceptance Rate (TAR) or Type III Error,"{""answer"":""B"", ""explanation"":""The False Acceptance Rate (FAR) is the percentage of invalid subjects that are falsely accepted by a Biometric authentication system. It is also known as Type II Error.""} <end>",B,"tensor([2.1762e-06, 8.2426e-08, 8.6719e-08,  ..., 4.9694e-09, 4.9694e-09,
        4.9694e-09])",B,The False Acceptance Rate (FAR) is the percentage of invalid subjects that are falsely accepted by a Biometric authentication system. It is also known as Type II Error.,True
19,What is called the percentage at which the False Rejection Rate equals the False Acceptance Rate? [A] False Rejection Rate (FRR) or Type I Error [B.] False Acceptance Rate (FAR) or Type II Error [C.] Crossover Error Rate (CER) [D.] Failure to enroll rate (FTE or FER),"{""answer"":""C"", ""explanation"":""The Crossover Error Rate (CER) is the percentage at which the False Rejection Rate (FRR) equals the False Acceptance Rate (FAR).""} <end>",C,"tensor([6.4901e-06, 2.2557e-07, 1.2506e-07,  ..., 9.3288e-09, 9.3288e-09,
        9.3288e-09])",C,The Crossover Error Rate (CER) is the percentage at which the False Rejection Rate (FRR) equals the False Acceptance Rate (FAR).,True
20,"Considerations of privacy, invasiveness, and psychological and physical comfort when using the system are important elements for which of the following? [A] Accountability of biometrics systems [B.] Acceptability of biometrics systems [C.] Availability of biometrics systems [D.] Adaptability of biometrics systems","{""answer"":""B"", ""explanation"": ""Acceptability of biometrics systems includes considerations of privacy, invasiveness, and psychological and physical comfort when using the system. It refers to the degree to which the public perceives the biometric system as acceptable and appropriate to use, taking into account the potential risks and benefits to individuals and society. Acceptability is a critical aspect of biometrics systems as it directly impacts the willingness of people to use the system, their trust in the system, and the overall effectiveness of the system in achieving its intended goals.""} <end>",B,"tensor([7.2608e-06, 5.9941e-08, 1.8754e-07,  ..., 1.4462e-08, 1.4462e-08,
        1.4462e-08])",B,"Acceptability of biometrics systems includes considerations of privacy, invasiveness, and psychological and physical comfort when using the system. It refers to the degree to which the public perceives the biometric system as acceptable and appropriate to use, taking into account the potential risks and benefits to individuals and society. Acceptability is a critical aspect of biometrics systems as it directly impacts the willingness of people to use the system, their trust in the system, and the overall effectiveness of the system in achieving its intended goals.",True
21,"Which of the following offers advantages such as the ability to use stronger passwords, easier password administration, one set of credential, and faster resource access? [A] Smart cards [B.] Single Sign-On (SSO) [C.] Symmetric Ciphers [D.] Public Key Infrastructure (PKI)","{""answer"":""B"", ""explanation"": ""Single Sign-On (SSO) offers advantages such as the ability to use stronger passwords, easier password administration, one set of credential, and faster resource access. SSO allows users to access multiple applications and resources with a single set of credentials, reducing the need to remember multiple passwords and improving the overall security of the system. This is particularly useful in large-scale environments where users need to access multiple systems and applications.""} <end>",B,"tensor([4.7129e-06, 7.9522e-08, 1.0453e-07,  ..., 3.9054e-09, 3.9054e-09,
        3.9054e-09])",B,"Single Sign-On (SSO) offers advantages such as the ability to use stronger passwords, easier password administration, one set of credential, and faster resource access. SSO allows users to access multiple applications and resources with a single set of credentials, reducing the need to remember multiple passwords and improving the overall security of the system. This is particularly useful in large-scale environments where users need to access multiple systems and applications.",True
22,"Which of the following describes the major disadvantage of many Single Sign-On (SSO) implementations? [A] Once an individual obtains access to the system through the initial log-on, they have access to all resources within the environment that the account has access to. [B.] The initial logon process is cumbersome to discourage potential intruders. [C.] Once a user obtains access to the system through the initial log-on, they only need to logon to some applications. [D.] Once a user obtains access to the system through the initial log-on, he has to logout from all other systems","{""answer"":""A"", ""explanation"":""Once an individual obtains access to the system through the initial log-on, they have access to all resources within the environment that the account has access to. This is the major disadvantage of many Single Sign-On (SSO) implementations. This means that if an individual has access to the system, they have access to all resources within the environment, which could potentially lead to unauthorized access to sensitive information. This is a major security risk and a disadvantage of SSO implementations.""} <end>",A,"tensor([1.5591e-06, 3.5752e-07, 9.4365e-08,  ..., 6.0326e-09, 6.0326e-09,
        6.0326e-09])",A,"Once an individual obtains access to the system through the initial log-on, they have access to all resources within the environment that the account has access to. This is the major disadvantage of many Single Sign-On (SSO) implementations. This means that if an individual has access to the system, they have access to all resources within the environment, which could potentially lead to unauthorized access to sensitive information. This is a major security risk and a disadvantage of SSO implementations.",True
23,Which of the following is implemented through scripts or smart agents that replays the users multiple log-ins against authentication servers to verify a user's identity which permit access to system services? [A] Single Sign-On [B.] Dynamic Sign-On [C.] Smart cards [D.] Kerberos,"{""answer"":""A"", ""explanation"":""Single Sign-On is implemented through scripts or smart agents that replay the user's multiple log-ins against authentication servers to verify a user's identity which permit access to system services. This technology allows users to access multiple systems with a single set of credentials, reducing the need for multiple logins and improving security.""} <end>",A,"tensor([1.8678e-06, 1.4180e-07, 4.4271e-08,  ..., 1.1281e-08, 1.1281e-08,
        1.1281e-08])",A,"Single Sign-On is implemented through scripts or smart agents that replay the user's multiple log-ins against authentication servers to verify a user's identity which permit access to system services. This technology allows users to access multiple systems with a single set of credentials, reducing the need for multiple logins and improving security.",True
24,Which of the following is NOT true of the Kerberos protocol? [A] Only a single login is required per session. [B.] The initial authentication steps are done using public key algorithm. [C.] The KDC is aware of all systems in the network and is trusted by all of them [D.] It performs mutual authentication,"{""answer"":""C"", ""explanation"":""The KDC (Key Distribution Center) in Kerberos is aware of all users in the network, not all systems. It is responsible for issuing tickets to users, which are used to authenticate them to various services. The KDC is trusted by users, but it is not aware of all systems in the network. Each system in the network is responsible for its own authentication and authorization, and they do not rely on the KDC to know about them. Therefore, option C is the correct answer.""} <end>",B,"tensor([1.6283e-06, 2.4297e-07, 6.4885e-08,  ..., 8.5779e-09, 8.5779e-09,
        8.5779e-09])",C,"The KDC (Key Distribution Center) in Kerberos is aware of all users in the network, not all systems. It is responsible for issuing tickets to users, which are used to authenticate them to various services. The KDC is trusted by users, but it is not aware of all systems in the network. Each system in the network is responsible for its own authentication and authorization, and they do not rely on the KDC to know about them. Therefore, option C is the correct answer.",False
25,Which of the following is used to create and modify the structure of your tables and other objects in the database? [A] SQL Data Definition Language (DDL) [B.] SQL Data Manipulation Language (DML) [C.] SQL Data Relational Language (DRL) [D.] SQL Data Identification Language (DIL),"{""answer"":""A"", ""explanation"": ""SQL Data Definition Language (DDL) is used to create and modify the structure of your tables and other objects in the database. It includes commands such as CREATE, ALTER, and DROP, which are used to define and modify database structures.""} <end>",A,"tensor([8.8299e-06, 1.1765e-06, 1.7624e-07,  ..., 1.0099e-08, 1.0099e-08,
        1.0099e-08])",A,"SQL Data Definition Language (DDL) is used to create and modify the structure of your tables and other objects in the database. It includes commands such as CREATE, ALTER, and DROP, which are used to define and modify database structures.",True
26,Which of the following is used to monitor network traffic or to monitor host audit logs in real time to determine violations of system security policy that have taken place? [A] Intrusion Detection System [B.] Compliance Validation System [C.] Intrusion Management System (IMS) [D.] Compliance Monitoring System,"{""answer"":""A"", ""explanation"": ""An Intrusion Detection System (IDS) is a network security system that monitors network traffic for signs of unauthorized access, misuse, or other malicious activities. It is used to monitor network traffic or to monitor host audit logs in real time to determine violations of system security policy that have taken place. An IDS can be configured to alert administrators when suspicious activity is detected, allowing them to take corrective action to prevent further damage. While an Intrusion Management System (IMS) is also used to monitor network traffic, it is used to automate the process of detecting and responding to intrusions, rather than simply monitoring for signs of unauthorized access. A Compliance Validation System and a Compliance Monitoring System are used to ensure that an organization is in compliance with regulatory requirements and industry standards, but they are not used to monitor network traffic or host audit logs in real time to detect violations of system security policy. ""} <end>",A,"tensor([1.5418e-06, 1.5936e-07, 2.2916e-07,  ..., 2.0619e-08, 2.0619e-08,
        2.0619e-08])",A,"An Intrusion Detection System (IDS) is a network security system that monitors network traffic for signs of unauthorized access, misuse, or other malicious activities. It is used to monitor network traffic or to monitor host audit logs in real time to determine violations of system security policy that have taken place. An IDS can be configured to alert administrators when suspicious activity is detected, allowing them to take corrective action to prevent further damage. While an Intrusion Management System (IMS) is also used to monitor network traffic, it is used to automate the process of detecting and responding to intrusions, rather than simply monitoring for signs of unauthorized access. A Compliance Validation System and a Compliance Monitoring System are used to ensure that an organization is in compliance with regulatory requirements and industry standards, but they are not used to monitor network traffic or host audit logs in real time to detect violations of system security policy. ",True
27,Which of the following monitors network traffic in real time? [A] network-based IDS [B.] host-based IDS [C.] application-based IDS [D.] firewall-based IDS,"{""answer"": ""A"", ""explanation"": ""Network-based IDS monitors network traffic in real-time to identify and alert on potential security threats. It does this by capturing and analyzing network packets as they flow through the network. This allows for the detection of attacks and other malicious activity as it happens, making it an effective tool for real-time monitoring and incident response.""} <end>",A,"tensor([4.7704e-06, 5.6531e-07, 3.1835e-07,  ..., 6.8302e-09, 6.8302e-09,
        6.8302e-09])",A,"Network-based IDS monitors network traffic in real-time to identify and alert on potential security threats. It does this by capturing and analyzing network packets as they flow through the network. This allows for the detection of attacks and other malicious activity as it happens, making it an effective tool for real-time monitoring and incident response.",True
28,A host-based IDS is resident on which of the following? [A] On each of the critical hosts [B.] decentralized hosts [C.] central hosts [D.] bastion hosts,"{""answer"":""A"", ""explanation"":""A host-based IDS is resident on each of the critical hosts. It monitors the activity of the critical hosts and can alert the security administrator if there is any suspicious activity. It is also known as a HIDS. A host-based IDS is a type of IDS that is installed on a single host. It monitors the activity of that host and can alert the security administrator if there is any suspicious activity.""} <end>",A,"tensor([3.0770e-06, 3.8362e-07, 2.5555e-07,  ..., 1.9860e-08, 1.9860e-08,
        1.9860e-08])",A,A host-based IDS is resident on each of the critical hosts. It monitors the activity of the critical hosts and can alert the security administrator if there is any suspicious activity. It is also known as a HIDS. A host-based IDS is a type of IDS that is installed on a single host. It monitors the activity of that host and can alert the security administrator if there is any suspicious activity.,True
29,"Which of the following usually provides reliable, real-time information without consuming network or host resources? [A] network-based IDS [B.] host-based IDS [C.] application-based IDS [D.] firewall-based IDS","{""answer"":""B"", ""explanation"": ""Host-based IDS systems are usually able to provide reliable, real-time information without consuming network or host resources. This is because they are installed on a single host and use local resources to monitor the host. Network-based IDS systems, on the other hand, are typically deployed on network devices such as routers and switches, which can consume network resources and may not provide real-time information. Application-based IDS systems are typically deployed on the application server and can consume host resources. Firewall-based IDS systems are typically deployed on the firewall and can consume network resources.""} <end>",A,"tensor([2.3407e-06, 4.9538e-08, 1.2950e-07,  ..., 7.6714e-09, 7.6714e-09,
        7.6714e-09])",B,"Host-based IDS systems are usually able to provide reliable, real-time information without consuming network or host resources. This is because they are installed on a single host and use local resources to monitor the host. Network-based IDS systems, on the other hand, are typically deployed on network devices such as routers and switches, which can consume network resources and may not provide real-time information. Application-based IDS systems are typically deployed on the application server and can consume host resources. Firewall-based IDS systems are typically deployed on the firewall and can consume network resources.",False
30,The fact that a network-based IDS reviews packets payload and headers enable which of the following? [A] Detection of denial of service [B.] Detection of all viruses [C.] Detection of data corruption [D.] Detection of all password guessing attacks,"{""answer"":""C"", ""explanation"": ""Network-based IDS reviews packets payload and headers. Data corruption can be detected by examining the payload and headers of packets. Therefore, the correct answer is C. Detection of data corruption.""} <end>",A,"tensor([8.1149e-06, 4.2840e-07, 1.0215e-07,  ..., 1.6194e-08, 1.6194e-08,
        1.6194e-08])",C,"Network-based IDS reviews packets payload and headers. Data corruption can be detected by examining the payload and headers of packets. Therefore, the correct answer is C. Detection of data corruption.",False
31,Which of the following reviews system and event logs to detect attacks on the host and determine if the attack was successful? [A] host-based IDS [B.] firewall-based IDS [C.] bastion-based IDS [D.] server-based IDS,"{""answer"": ""A"", ""explanation"": ""A host-based IDS system monitors the host system to detect attacks and determines if the attack was successful. It is also known as HIDS (Host-based Intrusion Detection System).""} <end>",A,"tensor([3.9263e-06, 6.3845e-07, 2.7567e-07,  ..., 2.9398e-08, 2.9398e-08,
        2.9398e-08])",A,A host-based IDS system monitors the host system to detect attacks and determines if the attack was successful. It is also known as HIDS (Host-based Intrusion Detection System).,True
32,What would be considered the biggest drawback of Host-based Intrusion Detection systems (HIDS)? [A] It can be very invasive to the host operating system [B.] Monitors all processes and activities on the host system only [C.] Virtually eliminates limits associated with encryption [D.] They have an increased level of visibility and control compared to NIDS,"{""answer"":""B"", ""explanation"":""HIDS monitors only the host system and does not monitor network traffic. This means that HIDS can miss attacks that occur over the network and only affect the host system.""} <end>",A,"tensor([5.0405e-06, 3.1353e-07, 1.5582e-07,  ..., 1.4550e-08, 1.4550e-08,
        1.4550e-08])",B,HIDS monitors only the host system and does not monitor network traffic. This means that HIDS can miss attacks that occur over the network and only affect the host system.,False
33,Attributes that characterize an attack are stored for reference using which of the following Intrusion Detection System (IDS)? [A] signature-based IDS [B.] statistical anomaly-based IDS [C.] event-based IDS [D.] inferent-based IDS,"{""answer"":""A"", ""explanation"": ""The correct answer is A. Signature-based IDS. Signature-based IDS stores attributes that characterize an attack for reference. This is done by preloading a database of known attack signatures. When a network packet is received, the IDS compares the packet with the stored signatures to determine if it matches any known attacks. If a match is found, the IDS alerts the administrator of a potential attack. Signature-based IDS is a type of anomaly-based IDS, which is used to identify known attacks. This type of IDS is more effective in detecting known attacks, but may not be able to detect unknown or zero-day attacks. ""} <end>",A,"tensor([2.0126e-06, 1.1443e-07, 1.3911e-07,  ..., 2.2358e-08, 2.2358e-08,
        2.2358e-08])",A,"The correct answer is A. Signature-based IDS. Signature-based IDS stores attributes that characterize an attack for reference. This is done by preloading a database of known attack signatures. When a network packet is received, the IDS compares the packet with the stored signatures to determine if it matches any known attacks. If a match is found, the IDS alerts the administrator of a potential attack. Signature-based IDS is a type of anomaly-based IDS, which is used to identify known attacks. This type of IDS is more effective in detecting known attacks, but may not be able to detect unknown or zero-day attacks. ",True
